usage_month,billing_account_id,project.id,project.number,service.description,service.id,location.location,location.region,carbon_model_version,carbon_footprint_total_kgCO2e.location_based,carbon_footprint_total_kgCO2e.market_based,carbon_footprint_kgCO2e.scope1,carbon_footprint_kgCO2e.scope2.location_based,carbon_footprint_kgCO2e.scope2.market_based,carbon_footprint_kgCO2e.scope3
2025-01-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,2403.513,1822.25,32.139,1002.178,420.915,1369.196
2025-01-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,europe-west1,europe-west1,v2025.1,1118.616,812.874,12.057,463.246,157.504,643.314
2025-01-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,asia-southeast1,asia-southeast1,v2025.1,1119.935,894.663,14.607,469.315,244.044,636.013
2025-01-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContainerOrchestration,CCD8-9BF1-2044,us-central1,us-central1,v2025.1,1075.483,823.497,13.897,434.46,182.473,627.127
2025-01-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,LoadBalancing,5490-F7B7-8DF6,global,global,v2025.1,480.062,339.212,1.972,234.75,93.9,243.34
2025-01-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ContentDelivery,95FF-2EF5-5EA1,global,global,v2025.1,589.18,436.404,2.142,254.626,101.851,332.411
2025-01-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,EventMessaging,A1E8-BE35-7EBC,global,global,v2025.1,416.654,298.295,2.078,197.265,78.906,217.311
2025-01-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,US,us,v2025.1,1417.703,1093.311,7.209,540.654,216.262,869.84
2025-01-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,DataWarehouse,24E6-581D-38E5,EU,eu,v2025.1,619.325,453.256,2.857,237.242,71.173,379.226
2025-01-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,606.874,471.987,1.932,224.811,89.925,380.131
2025-01-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,ObjectStorage,95FF-2EF5-5EA1,EU,eu,v2025.1,247.789,184.725,0.679,90.091,27.027,157.019
2025-01-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,us-central1,us-central1,v2025.1,614.328,466.383,1.722,255.077,107.132,357.529
2025-01-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,StreamBatchProcessing,956B-484D-6C42,europe-west1,europe-west1,v2025.1,259.756,189.08,1.145,107.085,36.409,151.526
2025-01-01,7429AC-18F0B7-63D9E2,ssp-data-prod,730284916528,Logging,5490-F7B7-8DF6,global,global,v2025.1,306.348,236.419,1.106,116.548,46.619,188.693
2025-01-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,us-central1,us-central1,v2025.1,853.653,637.082,9.647,373.4,156.828,470.607
2025-01-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,MachineLearning,B092-4C12-5AD8,europe-west4,europe-west4,v2025.1,227.048,157.413,2.825,94.101,24.466,130.121
2025-01-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,487.745,372.972,5.372,197.884,83.111,284.489
2025-01-01,7429AC-18F0B7-63D9E2,ssp-ml-prod,268451790336,ObjectStorage,95FF-2EF5-5EA1,US,us,v2025.1,258.739,204.382,0.774,90.594,36.237,167.371
2025-01-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,europe-west1,europe-west1,v2025.1,339.602,245.432,4.574,142.683,48.512,192.345
2025-01-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ManagedRelationalDatabase,9662-B51E-5089,us-central1,us-central1,v2025.1,309.57,235.302,3.768,128.047,53.78,177.755
2025-01-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,InMemoryCache,ABCD-1234-9876,europe-west1,europe-west1,v2025.1,209.089,150.932,2.724,88.117,29.96,118.248
2025-01-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,ArtifactRegistry,2D43-CB89-6AAB,europe-west1,europe-west1,v2025.1,98.641,77.252,0.314,32.407,11.018,65.92
2025-01-01,7429AC-18F0B7-63D9E2,ssp-shared-infra,914638205771,Monitoring,5490-F7B7-8DF6,global,global,v2025.1,140.347,107.456,0.484,54.818,21.927,85.045
2025-02-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,us-central1,us-central1,v2025.1,2279.638,1751.461,26.823,910.65,382.473,1342.165
2025-02-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,europe-west1,europe-west1,v2025.1,1106.774,798.917,12.888,466.449,158.593,627.437
2025-02-01,7429AC-18F0B7-63D9E2,ssp-bidding-prod,483920174615,ComputeVM,6F81-5844-456A,asia-southeast1,asia-southeast1,v2025.1,1147.713,931.192,13.873,451.085,234.564,682.756
